Ano;Mês;CLIENTE;RECEITA;PESO;Classificação
2020;setembro;Clinte 27;R$ 61;2;FRACIONADO
2020;outubro;Clinte 27;R$ 59;10;FRACIONADO
2020;novembro;Clinte 27;R$ 338;162;FRACIONADO
2020;dezembro;Clinte 27;R$ 59;2;FRACIONADO
2021;janeiro;Clinte 27;R$ 104;50;FRACIONADO
2020;janeiro;Clinte 28;R$ 37;1;FRACIONADO
2020;fevereiro;Clinte 28;R$ 113;55;FRACIONADO
2020;março;Clinte 28;R$ 55;24;FRACIONADO
2020;maio;Clinte 28;R$ 43;1;FRACIONADO
2020;junho;Clinte 28;R$ 55;10;FRACIONADO
2020;julho;Clinte 28;R$ 302;73;FRACIONADO
2020;agosto;Clinte 28;R$ 41;3;FRACIONADO
2020;setembro;Clinte 28;R$ 150;15;FRACIONADO
2020;outubro;Clinte 28;R$ 66;37;FRACIONADO
2020;novembro;Clinte 28;R$ 45;3;FRACIONADO
2020;dezembro;Clinte 28;R$ 139;25;FRACIONADO
2021;janeiro;Clinte 28;R$ 43;1;FRACIONADO
2021;fevereiro;Clinte 28;R$ 102;22;FRACIONADO
2020;março;Clinte 29;R$ 41;53;FRACIONADO
2020;julho;Clinte 29;R$ 84;45;FRACIONADO
2020;novembro;Clinte 30;R$ 424;184;FRACIONADO
2020;dezembro;Clinte 30;R$ 131;10;FRACIONADO
2020;março;Clinte 31;R$ 218;183;FRACIONADO
2020;novembro;Clinte 31;R$ 105;20;FRACIONADO
2021;janeiro;Clinte 31;R$ 102;38;FRACIONADO
2020;janeiro;Clinte 32;R$ 88;30;FRACIONADO
2020;maio;Clinte 33;R$ 100;5;FRACIONADO
2021;fevereiro;Clinte 34;R$ 188;130;FRACIONADO
2020;janeiro;Clinte 35;R$ 175;70;FRACIONADO
2020;maio;Clinte 35;R$ 148;48;FRACIONADO
2020;junho;Clinte 35;R$ 176;19;FRACIONADO
2020;julho;Clinte 35;R$ 315;88;FRACIONADO
2020;agosto;Clinte 35;R$ 265;61;FRACIONADO
2020;setembro;Clinte 35;R$ 501;130;FRACIONADO
2020;outubro;Clinte 35;R$ 500;113;FRACIONADO
2020;novembro;Clinte 35;R$ 460;169;FRACIONADO
2020;dezembro;Clinte 35;R$ 282;197;FRACIONADO
2021;janeiro;Clinte 35;R$ 487;161;FRACIONADO
2021;fevereiro;Clinte 35;R$ 521;78;FRACIONADO
2021;março;Clinte 35;R$ 365;95;FRACIONADO
2020;janeiro;Clinte 36;R$ 588;238;FRACIONADO
2020;fevereiro;Clinte 36;R$ 157;76;FRACIONADO
2020;março;Clinte 36;R$ 146;22;FRACIONADO
2020;abril;Clinte 36;R$ 816;733;FRACIONADO
2020;junho;Clinte 36;R$ 405;187;FRACIONADO
2020;julho;Clinte 36;R$ 111;24;FRACIONADO
2020;agosto;Clinte 36;R$ 230;195;FRACIONADO
2020;setembro;Clinte 36;R$ 212;128;FRACIONADO
2020;outubro;Clinte 36;R$ 182;81;FRACIONADO
2020;novembro;Clinte 36;R$ 1.451;1400;FRACIONADO
2021;janeiro;Clinte 36;R$ 175;102;FRACIONADO
2021;fevereiro;Clinte 36;R$ 69;6;FRACIONADO
2021;março;Clinte 36;R$ 85;30;FRACIONADO
2020;fevereiro;Clinte 37;R$ 38;35;FRACIONADO
2020;janeiro;Clinte 38;R$ 72;8;FRACIONADO
2021;fevereiro;Clinte 38;R$ 94;1;FRACIONADO
2020;março;Clinte 39;R$ 106;85;FRACIONADO
2020;julho;Clinte 39;R$ 74;66;FRACIONADO
2020;junho;Clinte 40;R$ 151;105;FRACIONADO
2020;agosto;Clinte 41;R$ 75;38;FRACIONADO
2020;fevereiro;Clinte 42;R$ 129;5;FRACIONADO
2020;março;Clinte 43;R$ 88;1;FRACIONADO
2020;junho;Clinte 44;R$ 85;6;FRACIONADO
2020;janeiro;Clinte 45;R$ 2.404;3699;FRACIONADO
2020;fevereiro;Clinte 45;R$ 2.270;4206;FRACIONADO
2020;março;Clinte 45;R$ 1.595;2571;FRACIONADO
2020;abril;Clinte 45;R$ 1.266;1740;FRACIONADO
2020;maio;Clinte 45;R$ 908;900;FRACIONADO
2020;março;Clinte 46;R$ 118;40;FRACIONADO
2020;abril;Clinte 46;R$ 64;10;FRACIONADO
2020;junho;Clinte 46;R$ 104;80;FRACIONADO
2020;agosto;Clinte 46;R$ 65;15;FRACIONADO
2020;setembro;Clinte 46;R$ 158;23;FRACIONADO
2020;outubro;Clinte 46;R$ 215;147;FRACIONADO
2020;dezembro;Clinte 46;R$ 56;15;FRACIONADO
2021;janeiro;Clinte 46;R$ 76;42;FRACIONADO
2020;fevereiro;Clinte 47;R$ 134;4;FRACIONADO
2020;outubro;Clinte 47;R$ 109;1;FRACIONADO
2020;janeiro;Clinte 48;R$ 7.663;12641;FRACIONADO
2020;fevereiro;Clinte 48;R$ 8.138;13012;FRACIONADO
2020;março;Clinte 48;R$ 8.873;12750;FRACIONADO
2020;abril;Clinte 48;R$ 9.359;14288;FRACIONADO
2020;maio;Clinte 48;R$ 9.015;12634;FRACIONADO
2020;junho;Clinte 48;R$ 7.921;12248;FRACIONADO
2020;julho;Clinte 48;R$ 9.440;12940;FRACIONADO
2020;agosto;Clinte 48;R$ 7.518;11785;FRACIONADO
2020;setembro;Clinte 48;R$ 7.653;10045;FRACIONADO
2020;outubro;Clinte 48;R$ 8.906;13004;FRACIONADO
2020;novembro;Clinte 48;R$ 9.343;17062;FRACIONADO
2020;dezembro;Clinte 48;R$ 8.571;13384;FRACIONADO
2021;janeiro;Clinte 48;R$ 7.897;11052;FRACIONADO
2021;fevereiro;Clinte 48;R$ 6.742;9723;FRACIONADO
2021;março;Clinte 48;R$ 27.746;16606;FRACIONADO
2020;abril;Clinte 49;R$ 75;21;FRACIONADO
2020;maio;Clinte 49;R$ 127;3;FRACIONADO
2020;agosto;Clinte 49;R$ 52;8;FRACIONADO
2020;fevereiro;Clinte 50;R$ 121;10;FRACIONADO
2020;março;Clinte 50;R$ 306;58;FRACIONADO
2020;agosto;Clinte 50;R$ 184;32;FRACIONADO
2020;outubro;Clinte 50;R$ 223;8;FRACIONADO
2020;novembro;Clinte 50;R$ 51;10;FRACIONADO
